radar,datetime,height,u,v,w,ff,dd,sd_vvp,gap,eta,dens,dbz,dbz_all,n,n_dbz,n_all,n_dbz_all,rcs,sd_vvp_threshold,vcp,radar_latitude,radar_longitude,radar_height,radar_wavelength,source_file
200,2024-09-24T01:00:00Z,525,,,,,,,FALSE,,0,,,,3,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,575,,,,,,,FALSE,,0,,,,1,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,625,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,675,,,,,,,FALSE,,0,,,,1,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,725,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,775,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,825,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,875,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,925,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:00:00Z,975,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,25,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,75,-2.4594583473971037,0.20490233973368066,,2.4679789973599107,274.7624265566048,,FALSE,,42.07941237444727,,,27,1,,,10.444041476753386,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,125,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,175,-1.4189715257532878,-1.1470297837709416,,1.8245979052263066,231.04955690382096,,FALSE,,51.75377065600913,,,48,2,,,23.937831015005788,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,225,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,275,-3.3211491843452117,-0.7072506061196873,,3.3956200206344542,257.97823763434394,,FALSE,,25.935552346860188,,,50,1,,,10.604931284990576,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,325,-0.8590547786851839,0.675538782789876,,1.0928530367048799,308.1806081362098,,FALSE,,28.870808336412885,,,36,2,,,9.222667825974101,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,375,-1.5422235814378698,-0.9270792145995527,,1.7994247539937793,238.98859693223696,,FALSE,,17.495384300181794,,,31,1,,,12.948934332778455,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,425,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,475,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,525,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,575,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,625,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,675,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,725,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,775,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,825,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,875,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,925,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T01:30:00Z,975,,,,,,,FALSE,,0,,,,0,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,25,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,75,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,125,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,175,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,225,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,275,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,325,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,375,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,425,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,475,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,525,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,575,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
200,2024-09-24T02:00:00Z,625,,,,,,,FALSE,,,,,,,,,,,,47.127641,8.192569,510,3.19,
